date,category,campaign_name,impressions,clicks
2025-06-15,フィットネスウェア,Summer Fitness Campaign,10927,614
2025-06-16,フィットネスウェア,Summer Fitness Campaign,7278,429
2025-06-17,フィットネスウェア,Summer Fitness Campaign,9962,446
2025-06-18,フィットネスウェア,Summer Fitness Campaign,10576,677
2025-06-19,フィットネスウェア,Summer Fitness Campaign,6833,313
2025-06-20,フィットネスウェア,Summer Fitness Campaign,9293,645
2025-06-21,フィットネスウェア,Summer Fitness Campaign,12635,505
2025-06-22,フィットネスウェア,Summer Fitness Campaign,8080,340
2025-06-23,フィットネスウェア,Summer Fitness Campaign,10857,423
2025-06-24,フィットネスウェア,Summer Fitness Campaign,6947,408
2025-06-25,フィットネスウェア,Summer Fitness Campaign,8453,262
2025-06-26,フィットネスウェア,Summer Fitness Campaign,13540,418
2025-06-27,フィットネスウェア,Summer Fitness Campaign,12465,672
2025-06-28,フィットネスウェア,Summer Fitness Campaign,10238,485
2025-06-29,フィットネスウェア,Summer Fitness Campaign,9607,426
2025-06-30,フィットネスウェア,Summer Fitness Campaign,10495,552
2025-07-01,フィットネスウェア,Summer Fitness Campaign,8719,322
2025-07-02,フィットネスウェア,Summer Fitness Campaign,9863,505
2025-07-03,フィットネスウェア,Summer Fitness Campaign,10652,575
2025-07-04,フィットネスウェア,Summer Fitness Campaign,10067,570
2025-07-05,フィットネスウェア,Summer Fitness Campaign,9461,511
2025-07-06,フィットネスウェア,Summer Fitness Campaign,9607,620
2025-07-07,フィットネスウェア,Summer Fitness Campaign,7257,385
